Gender,GivenName,Surname,City,GUID
male,Brage,Sandanger,LASSENBERG,87cafde2-f9db-4324-b71e-f8a0badafd64
female,Maria,Nussbaum,"Villingen-Schwenningen Mühlhausen",f4d01545-101e-4be3-b817-85f5a0b38c9e
male,Eemil,Filatov,Beamsville,5b41c108-da31-43b3-a477-b2f4bd15aafa
male,Roderick,Letteboer,Kitimat,a9e758a6-52a7-4d0f-b214-cd8b36eb24cb
female,Annie,Sandiford,Bann,83884c60-f1fe-4cfb-b5f5-a6935f7fda89
female,Eliisa,Seppälä,Delft,2e3a0dbe-e75a-4d3f-9ec5-14b47a322f39
female,Abby,Scott,Malberg,a8252ab8-b0e7-470e-b90e-21f8b4805d55
female,Angela,Ulyanova,SOBOTH,2712701b-8232-4387-9cfb-f5b1392a5547
female,Silke,Herrmann,Osthofen,62c497d3-9355-4462-933e-1c51e457c540
male,Erik,Beike,MOOS,0e353d2d-3cfa-476c-94c7-41b02f79fe5f
male,Alexander,Griffin,LILLEHAMMER,6b00aac8-1ae1-4579-8643-99a8389e23d2
female,Leandra,Tonnaer,Middelkerke,ff3c7de3-9f93-4319-8eaa-4a811da02ce6
female,Marina,Kaiser,LARVIK,0e113e78-3ce9-479b-8420-9348647fd917
female,Tellervo,Wideroos,BODØ,91962b4a-a317-47c5-8eb3-1da22519dfa5
male,Markus,Waechter,Sessenhausen,df07b98c-12a9-4a4b-b2b5-505f8d15246a
female,Hannah,Thomson,Putten,e41e3558-b48c-4888-b13a-3ff7b824ce77
male,Panteleimon,Kudryashov,Kuhardt,c6845837-ab1c-4e3e-9b36-782fd2918c2d
female,Rosie,Parry,Nijkerk,5634ddd7-19f5-4648-8ae7-3a8f2a867e77
female,Issrae,Versprille,Beckum,d230a2da-f491-4e8b-98b4-e441b55f651a
male,Arttu,Uusipaikka,Nieuwkerken-Waas,2e72a03c-1e03-4c3d-bd5e-a9d5d909c36c
male,Ariel,Woodworth,Altdorf,a1e3acbc-13f5-4183-a0da-9d186499c2a4
